,,total instruction memory accesses,,instruction TLB misses,,total instruction page table accesses,,total data memory accesses,,data TLB misses,,total data page table accesses
BM name, input, 4 kiloB pages, 4 MegaB pages, 4 kiloB pages, 4 MegaB pages, 4 kiloB pages, 4 MegaB pages, 4 kiloB pages, 4 MegaB pages, 4 kiloB pages, 4 MegaB pages, 4 kiloB pages, 4 MegaB pages
403.gcc, 166.in,79396806,345136,26380863,3,79142589,9,1503347135,198237044,436102156,12366,1308306468,37098
403.gcc, 200.in,279193514,2452045,92318751,3,276956253,9,3694007144,207005239,1165078483,3244405,3495235449,9733215
403.gcc, c-typeck.in,111009769,668114,36747413,3,110242239,9,1872216860,223672250,546909639,1088539,1640728917,3265617
403.gcc, cp-decl.in,75092240,460578,24878826,4,74636478,12,1575603959,166080856,470300084,121127,1410900252,363381
403.gcc, expr.in,63566749,389530,21083382,4,63250146,12,1792151426,254589010,484279973,721097,1452839919,2163291
403.gcc, expr2.in,100001418,582002,33155824,3,99467472,9,2288060088,404444601,636173330,3138100,1908519990,9414300
403.gcc, g23.in,93618324,741586,30974751,3,92924253,9,2715095648,983219620,579391024,1551249,1738173072,4653747
403.gcc, s04.in,102195440,329014,33604910,3,100814730,9,2949593035,873120033,693926483,1490725,2081779449,4472175
403.gcc, scilab.in,138623397,1335317,45723748,4,137171244,12,1323926336,40329999,427915043,47,1283745129,141
416.gamess, cytosine.2,12344669,10382,4111315,7,12333945,21,1021788145,2456279,1771433037,17,1019331815,51
416.gamess, h2ocu2+.gradient,6620035,55822,2200812,7,6602436,21,1168231591,9254682,3251229764,18,1163754700,54
450.soplex, pds-50.mps,6051339,1060085,956258,6,2868774,18,3945747605,3450531394,233295757,156524,699887271,469572
450.soplex, ref.mps,4110378,253525,1284844,6,3854532,18,11692542247,8717521825,985190908,2958018,2955572724,8874054
456.hmmer, nph3.hmm,15377140,7708,5123236,4,15369708,12,540301346,58694661,159604263,16,478812789,48
462.libquantum, control,1964,1496,160,4,480,12,56549189182,53774731522,924819841,64,2774459523,192
464.h264ref, foreman,11128567,122818,2798461,4,8395383,12,1611682660,21781459,526048662,16,1578145986,48
501.toy-bm-1, ---,795,679,42,3,126,9,2007,1503,174,6,522,18
502.toy-bm-2, ---,1101,879,78,4,234,12,3076,2459,223,6,669,18
